country,country_code,year,indicator,indicator_code,value,source_id,source_file
Ecuador,ECU,2022,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,63.388,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2023,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,62.225,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2024,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,62.311,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2020,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,44.55,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2021,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,45.195,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2022,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,48.01,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2023,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,48.589,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2024,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,49.28,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2020,unemployment_total_pct,SL.UEM.TOTL.ZS,11.461,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2021,unemployment_total_pct,SL.UEM.TOTL.ZS,8.736,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2022,unemployment_total_pct,SL.UEM.TOTL.ZS,6.805,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2023,unemployment_total_pct,SL.UEM.TOTL.ZS,6.139,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2024,unemployment_total_pct,SL.UEM.TOTL.ZS,7.15,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2020,unemployment_total_pct,SL.UEM.TOTL.ZS,15.983,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2021,unemployment_total_pct,SL.UEM.TOTL.ZS,13.898,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2022,unemployment_total_pct,SL.UEM.TOTL.ZS,10.541,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2023,unemployment_total_pct,SL.UEM.TOTL.ZS,9.591,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2024,unemployment_total_pct,SL.UEM.TOTL.ZS,9.619,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2020,unemployment_total_pct,SL.UEM.TOTL.ZS,6.116,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2021,unemployment_total_pct,SL.UEM.TOTL.ZS,4.504,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2022,unemployment_total_pct,SL.UEM.TOTL.ZS,3.713,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2023,unemployment_total_pct,SL.UEM.TOTL.ZS,3.51,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2024,unemployment_total_pct,SL.UEM.TOTL.ZS,3.453,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2020,unemployment_total_pct,SL.UEM.TOTL.ZS,7.53,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2021,unemployment_total_pct,SL.UEM.TOTL.ZS,7.027,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2022,unemployment_total_pct,SL.UEM.TOTL.ZS,5.646,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2023,unemployment_total_pct,SL.UEM.TOTL.ZS,5.407,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2024,unemployment_total_pct,SL.UEM.TOTL.ZS,5.321,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.UEM.TOTL.ZS_ECU_VEN_ARG_COL_2020_2025.json
